clear_fraction,lat_cloud,lon_cloud,.geo_cloud,lat_round,lon_round,lat_loss,lon_loss,loss_fraction,.geo_loss,quadrant
0.39240506,-15.105171502469757,-68.37526785075738,,-15.105,-68.375,-15.105171502469757,-68.37526785075738,0.0,,good_visibility__no_loss
0.4126582,-15.105171502469757,-68.35730154507499,,-15.105,-68.357,-15.105171502469757,-68.35730154507499,0.54227406,,good_visibility__has_loss
0.37468356,-15.105171502469757,-68.3483183922338,,-15.105,-68.348,-15.105171502469757,-68.3483183922338,0.13963039,,good_visibility__has_loss
0.36455697,-15.105171502469757,-68.3393352393926,,-15.105,-68.339,-15.105171502469757,-68.3393352393926,0.6051661,,good_visibility__has_loss
0.4506329,-15.105171502469757,-68.3303520865514,,-15.105,-68.33,-15.105171502469757,-68.3303520865514,1.0,,good_visibility__has_loss
0.31392404,-15.11415465531095,-68.84239179849953,,-15.114,-68.842,-15.11415465531095,-68.84239179849953,0.0,,poor_visibility__no_loss
0.38734177,-15.11415465531095,-68.83340864565834,,-15.114,-68.833,-15.11415465531095,-68.83340864565834,0.0,,good_visibility__no_loss
0.16455697,-15.11415465531095,-68.77950972861116,,-15.114,-68.78,-15.11415465531095,-68.77950972861116,0.0,,poor_visibility__no_loss
0.20253165,-15.11415465531095,-68.77052657576998,,-15.114,-68.771,-15.11415465531095,-68.77052657576998,0.0,,poor_visibility__no_loss
0.33417723,-15.11415465531095,-68.76154342292878,,-15.114,-68.762,-15.11415465531095,-68.76154342292878,0.0,,poor_visibility__no_loss
0.3063291,-15.11415465531095,-68.75256027008759,,-15.114,-68.753,-15.11415465531095,-68.75256027008759,1.0,,poor_visibility__has_loss
0.31392404,-15.11415465531095,-68.74357711724639,,-15.114,-68.744,-15.11415465531095,-68.74357711724639,0.61290324,,poor_visibility__has_loss
0.19240506,-15.11415465531095,-68.73459396440519,,-15.114,-68.735,-15.11415465531095,-68.73459396440519,0.0,,poor_visibility__no_loss
0.18734178,-15.11415465531095,-68.725610811564,,-15.114,-68.726,-15.11415465531095,-68.725610811564,0.0,,poor_visibility__no_loss
0.2556962,-15.11415465531095,-68.7166276587228,,-15.114,-68.717,-15.11415465531095,-68.7166276587228,0.0,,poor_visibility__no_loss
0.16708861,-15.11415465531095,-68.69866135304041,,-15.114,-68.699,-15.11415465531095,-68.69866135304041,0.0,,poor_visibility__no_loss
0.2734177,-15.11415465531095,-68.68967820019921,,-15.114,-68.69,-15.11415465531095,-68.68967820019921,0.0,,poor_visibility__no_loss
0.1164557,-15.11415465531095,-68.67171189451682,,-15.114,-68.672,-15.11415465531095,-68.67171189451682,0.0,,poor_visibility__no_loss
0.05822785,-15.11415465531095,-68.66272874167562,,-15.114,-68.663,-15.11415465531095,-68.66272874167562,0.0,,poor_visibility__no_loss
0.07341772,-15.11415465531095,-68.65374558883444,,-15.114,-68.654,-15.11415465531095,-68.65374558883444,0.0,,poor_visibility__no_loss
0.09620253,-15.11415465531095,-68.64476243599324,,-15.114,-68.645,-15.11415465531095,-68.64476243599324,0.0,,poor_visibility__no_loss
0.21772152,-15.11415465531095,-68.62679613031085,,-15.114,-68.627,-15.11415465531095,-68.62679613031085,0.0,,poor_visibility__no_loss
0.30886075,-15.11415465531095,-68.60882982462846,,-15.114,-68.609,-15.11415465531095,-68.60882982462846,0.0,,poor_visibility__no_loss
0.24303797,-15.11415465531095,-68.59086351894607,,-15.114,-68.591,-15.11415465531095,-68.59086351894607,0.0,,poor_visibility__no_loss
0.20253165,-15.11415465531095,-68.58188036610487,,-15.114,-68.582,-15.11415465531095,-68.58188036610487,0.0,,poor_visibility__no_loss
