clear_fraction,lat,lon,.geo
0.31898734,-15.16805357235812,-68.81544233997595,
0.33924052,-15.16805357235812,-68.80645918713475,
0.2506329,-15.16805357235812,-68.79747603429355,
0.3063291,-15.16805357235812,-68.78849288145236,
0.2506329,-15.16805357235812,-68.77950972861116,
0.22278482,-15.16805357235812,-68.77052657576998,
0.19240506,-15.16805357235812,-68.76154342292878,
0.17468354,-15.16805357235812,-68.75256027008759,
0.2329114,-15.16805357235812,-68.74357711724639,
0.22025317,-15.16805357235812,-68.73459396440519,
0.18227848,-15.16805357235812,-68.725610811564,
0.19240506,-15.16805357235812,-68.7166276587228,
0.18987341,-15.16805357235812,-68.7076445058816,
0.24303797,-15.16805357235812,-68.69866135304041,
0.37468356,-15.16805357235812,-68.68967820019921,
0.34683543,-15.16805357235812,-68.68069504735801,
0.2050633,-15.16805357235812,-68.67171189451682,
0.1721519,-15.16805357235812,-68.66272874167562,
0.16708861,-15.16805357235812,-68.65374558883444,
0.16202532,-15.16805357235812,-68.64476243599324,
0.2835443,-15.16805357235812,-68.63577928315205,
0.28101265,-15.16805357235812,-68.62679613031085,
0.28101265,-15.16805357235812,-68.61781297746965,
0.278481,-15.16805357235812,-68.60882982462846,
0.13164558,-15.16805357235812,-68.59984667178726,
0.21265823,-15.16805357235812,-68.59086351894607,
0.16202532,-15.16805357235812,-68.58188036610487,
